Swedish,English
evangeliet,the gospel
tjejkompisar,girlfriends
upprop,Call
utplånades,was wiped out
khanen,the khan
racket,racket
glamour,glamor
barrès,barrès
avböja,decline
voorhees,voorhees
detective,detective
putsade,polished
knallar,bangs
skillnaderna,the differences
royale,royale
varnas,be warned
mekanism,mechanism
sus,swish
heathcliff,heathcliff
klampar,cleats
cuba,cuba
preparat,preparation
manitowocs,manitowocs
absint,absinth
européer,Europeans
klingonska,Klingon
förutser,anticipates
doggie,doggy
ekosystem,ecosystem
varianter,variants
styrdes,was controlled
domingo,domingo
kartongerna,the cartons
dokumenterar,documents
talmannen,the speaker
stickar,knits
leith,leith
badrock,bathrobe
rakad,shaved
platon,platoon
koothrappali,koothrappali
postar,posts
pompeji,Pompeii
säkerhetsbälten,seat belts
säja,say
rockwell,rockwell
ömsint,tender
infraröda,infrared
banketten,the banquet
resenären,the traveler
huvudentrén,the main entrance
sänktes,was lowered
pena,shame
zoidberg,zoid mountain
eastman,eastman
tändstickorna,the matches
carls,carls
sodavatten,soda water
sjukvården,healthcare
nasedo,nasedo
kaye,bye
fuentes,fountains
bubblar,bubbles
arvingen,the heir
bl.a.,i.a.
grevinna,countess
narkos,anesthetic
pembroke,pembroke
lucian,lucia
statusen,the status
negan,deny
resebyrå,travel agency
vidhåller,maintains
fibrerna,the fibers
oförutsägbart,unpredictable
optimus,optimus
tilldelades,was awarded
dim,dim
äventyrade,endangered
roat,amused
bonsoir,bonsoir
lemlästade,mutilated
halbach,Halbach
videokameran,the video camera
befordras,promoted
läkares,doctor's
blåsning,blowing
halm,straw
baxters,baxter's
hypnotiserade,hypnotized
britannien,Britain
dörrklocka,doorbell
åta,eight
vigselringen,the wedding ring
ekot,the echo
boxershorts,boxer shorts
lexus,lexus
utförda,performed
enzym,enzyme
trådlöst,wirelessly
allena,alone
följden,the consequence
glöms,is forgotten
arabisk,Arab
irakier,Iraqi
likvidera,liquidate
dräng,peasant
kronans,of the crown
grävling,Badger
tinder,tinder
slemmig,slimy
trev,feel good
meteorit,meteorite
lexie,Lexie
sorgset,sadly
moroten,the carrot
rawlins,rawlins
övervakningsfilm,surveillance footage
säkerhetsteam,security team
cube,cube
stegar,ladders
kupé,compartment
tahoe,Tahoe
signorina,Signorina
cécile,cécile
zappa,zap
favoritbok,favorite book
rocha,rocha
algoritmer,algorithms
voyage,voyage
förruttnelse,putrefactive
förfarande,procedure
vittring,weathering
försmak,taste
varligt,cautiously
half,half
klanerna,the clans
slappar,relaxing
biträdet,the assistant
trojanska,Trojan
presidentkandidat,presidential candidate
thomson,thomson
nepal,nepal
rättsläkarens,coroner's
gosedjur,stuffed animals
evers,evers
kossor,cows
lemoine,lemoine
stillsamt,quietly
visats,shown
push,push
tillgiven,affectionate
riskzonen,the risk zone
bärande,carrying
ingemar,ingemar
återbetalning,refund
uppkopplade,connected
morgonrocken,the dressing gown
skulderna,the debts
motstridiga,contradictory
egoist,egoist
peder,Peter
huff,huff
yamato,yamato
simulerar,simulates
gentry,gentry
rigsby,rigsby
perfekte,perfect
frestar,tempts
oärligt,dishonest
emmanuel,Emmanuel
rättsväsendet,the judiciary
spolat,flushed
kif,kif
kadetter,cadets
önskad,desired
uppå,up
exemplaret,the specimen
cop,cop
leann,leann
shoppade,shopped
sängliggande,bedridden
qué,what
agency,agency
ogiltig,invalid
mckinley,mckinley
femtonde,fifteenth
groot,big
våldtagna,raped
omgivande,ambient
dupree,Dupree
befrielsen,the liberation
ljussken,light shine
lapparna,the notes
keefe,keefe
muslimerna,the Muslims
talesmannen,the spokesperson
garvar,tanners
lâter,sounds
tystar,silent
markis,awning
laglydig,law abiding
larvar,larvae
fikusar,figs
gigolo,gigolo
överträffade,surpassed
traumatiserad,traumatized
vilseledd,deluded
webbsidan,web page
stelt,rigidly
aksel,axle
förseelser,misdemeanors
tilltygad,assured
hjälmarna,the helmets
häxeri,witchcraft
importerade,imported
møhge,mohge
onaturlig,unnatural
gilliam,Gilliam
maría,Maria
malm,Ore
överfölls,was assaulted
levine,levine
upploppen,the riots
distributör,distributor
stipendier,scholarships
rusta,equip
doom,doom
mikko,Mikko
tillfredsställd,satisfied
obligationerna,the bonds
förnärmad,offended
oförstörbar,indestructible
neo,neo
jessa,jeez
skyarna,the clouds
lnom,lnom
cigarrett,cigarette
förarsätet,the driver's seat
gammelfarfar,great grandfather
martys,Marty's
omärkta,unmarked
komplicerar,complicates
ålderdom,old age
kraftverk,power plant
pawter,Paws
förväxla,Confuse
skostorlek,shoe size
djurisk,brute
ponera,pose
handläggare,case manager
atticus,atticus
spolades,flushed
övertagande,take-over
böta,fine
fido,fido
vadim,vadim
livligt,lively
nyskapande,innovative
fällt,fell
ingivelse,inspiration
frånfälle,death
rotterdam,rotterdam
torteras,being tortured
skjutning,shooting
återföreningen,the reunion
ember,ember
smutstvätt,dirty laundry
undermedvetet,subconsciously
möjliggör,enables
arbetstider,working hours
droppade,dripped
tecknare,cartoonist
lnser,lenses
pride,pride
glory,glory
ehh,uhh
spooner,spoons
plummer,plums
återupplivar,revives
åkallar,invokes
mollari,molars
elräkningen,the electricity bill
kommunism,communism
tempelriddare,Knights Templar
flaggorna,the flags
godkändes,was approved
guam,Guam
nichol,nicholl
abner,Abner
bommen,the boom
gira,yaw
ransoner,rations
mobbar,bullies
självkontroll,self control
utkämpat,fought out
fejs,face
skamsen,ashamed
hindras,prevented
gently,gently
svängt,turned
juilliard,juilliard
koffert,trunk
vajnis,ice cream
östrogen,estrogen
aladdin,aladdin
brie,brie
hästskit,horse shit
hårfin,subtle
diskade,washed up
övervaknings,surveillance
bonusen,the bonus
fsb,fsb
tveksamma,doubtful
allteftersom,gradually
faktist,in fact
rebeccas,rebecca's
baudelaire,Baudelaire
statyerna,the statues
brandmannen,the fireman
äventyrat,endangered
beate,beat
kranvatten,tap water
golem,golem
reece,reece
infanteri,infantry
tzu,tzu
daterat,dated
clarkson,Clarkson
allens,everyone's
skrivaren,the printer
arvingar,heirs
gästhuset,the guesthouse
barndoms,childhood
personligheten,the personality
fartygschef,ship commander
bankirer,bankers
bulldozer,bulldozer
ynglingen,the youngster
oregelbunden,irregular
frammana,evoke
halifax,halifax
him,him
lagrade,stored
blöjan,the diaper
trogne,faithful
kodnamnet,the code name
guldstjärna,gold star
fejd,feud
bandets,of the band
slagträt,bat
felfritt,faultless
lojaliteten,the loyalty
paralyserad,paralyzed
förskola,preschool
dugan,the tablecloth
häver,raises
nordöst,northeast
hybris,hubris
obligatoriska,mandatory
mathilde,mathilde
infarten,the entrance
knäppgökar,snapping cuckoos
ifrân,from
tejpade,taped
förhäxade,bewitched
skogshuggare,lumberjack
ångorna,the vapors
liftar,hitchhiking
mattorna,the carpets
bronco,bronco
malta,grind
bankdirektör,bank director
ruckel,hovel
ojämna,uneven
kitteln,the cauldron
avlossa,fire
sodomi,sodomy
förhöjda,elevated
isaak,isaac
krigshandling,act of war
genomsökning,scanning
renoverade,renovated
temporär,temporary
grimmen,the halter
hooli,hooli
tidsschemat,the timetable
ground,ground
esposito,esposito
bliss,bliss
munsbit,morsel
städningen,the cleaning
snöade,snowed
tomás,tomás
uppfyllda,fulfilled
slarva,careless
lägereld,campfire
sidekick,sidekick
seaworld,seaworld
dår,fool
skrynkliga,wrinkled
lill,little
fema,five
förnedrade,humiliated
hojta,shout
muslimsk,Muslim
reparerade,repaired
feminist,feminist
pappy,daddy
packet,package
cyklarna,the bikes
avstod,waived
radioprogram,radio program
hindrande,obstructing
pee-wee,pee-wee
nummerplåt,number plate
korvarna,the sausages
hang,hung
kath,cat
träskalle,wooden skull
vickers,Vickers
nerslagen,beaten down
gikt,gout
radiostation,radio station
godmiddag,good dinner
mobba,bully
tibbs,tibbs
ajourneras,is adjourned
badkläder,swimwear
infrarött,infrared
dekorationer,decorations
lagstiftning,legislation
osaka,Osaka
pd,p.d
motellrum,motel room
fredericks,Frederick's
offshore,offshore
andranamn,second name
beaver,beaver
lyktorna,the lanterns
resonabel,reasonable
lorden,the lord
oundvikligen,inevitably
bog,shoulder
challenger,challenger
stormy,stormy
zoner,zones
lasky,lazy
alskar,loves
sommarstuga,summer cottage
hybrider,hybrids
arbetstillstånd,work permit
studerande,student
utväxlingen,the exchange
bartlett,bartlett
mattis,mattes
mordplats,murder scene
ans,ans
jätteglada,overjoyed
besitta,possess
villkorslöst,unconditionally
truth,truth
mistel,mistletoe
smörjelsen,the anointing
fränt,frenetic
piffa,spice up
oi,oh
havsbottnen,the seabed
dett,that
bombare,bomber
herc,duke
carries,carries
topparna,the peaks
avspänd,relaxed
northwestern,northwestern
omdirigera,redirect
tävlat,competed
bilförare,car driver
hyah,hey
litteraturen,the literature
has,have
krönika,chronicle
surrogat,surrogate
tanklös,harebrained
portsmouth,portsmouth
whitmore,whitmore
honduras,Honduras
aggressivitet,aggressiveness
slöddret,the slur
förfalskad,counterfeit
köttets,of the flesh
disciplinen,the discipline
bilbomb,car bomb
stretcha,stretch
uppkoppling,connection
grönkål,kale
gerillan,the guerilla
manet,jellyfish
fienderna,the enemies
alfalfa,alfalfa
frey,frey
ungmö,Maiden
hejdar,stops
abilene,abilene
nance,nance
blåsigt,windy
tjugotre,twenty three
dunkla,dim
syskonen,the siblings
left,left
krigsförklaring,declaration of war
wolff,wolff
ombordstigning,boarding
ogenomtränglig,impervious
dyngan,the dung
tulpaner,tulips
viviane,Vivian
flanagan,the flannel
mallorca,Majorca
beundransvärd,admirable
nomar,nomads
skamliga,shameful
dröjsmålet,the delay
uppringd,dialed
too,too
rask,brisk
freeze,freeze
småsak,bauble
lazlo,lazlo
egoistiskt,egotistical
bakterierna,the bacteria
cla,cla
greppar,grips
pepparsprej,pepper spray
troligast,most likely
dayton,dayton
mcfly,mcfly
goldstein,goldstein
trauman,the trauma
fetma,obesity
häpen,astonished
meisner,Meisner
hak,chin
tonåringarna,the teenagers
borger,citizen
davor,davors
christ,christ
tallahassee,tallahassee
bakfickan,back pocket
tidtabellen,the timetable
afrikaner,Africans
adrien,adria
rã,rã
förgiftades,was poisoned
tweed,tweed
radband,rosary
skeptiska,skeptical
enfaldiga,silly
tunnare,thinner
krampanfall,convulsions
anställdes,was employed
pratkvarn,chatterbox
överraskningsmomentet,the element of surprise
pooler,pools
drill,drill
rumsnummer,room number
affärsmöte,business meeting
godbit,tidbit
höggs,was cut
sögs,was sucked
keramik,ceramics
coral,coral
ortega,Ortega
syrsor,crickets
godric,Godric
håg,mind
komedier,comedies
kassören,the treasurer
idrottsmän,sportsmen
going,going
kratta,rake
oops,oops
klarsynt,perceptive
ovärdigt,unworthy
prästens,the priest's
arial,Arial
capri,Capri
motorvägar,highways
stenåldern,the Stone Age
oklara,unclear
varda,be
klyftigt,cleft
kroppsbyggnad,physique
allman,common man
bortrövad,robbed
hylsor,sleeves
calvert,Calvert
dikterar,dictates
stadsdelen,the district
tha,that
skyhöga,sky high
efterforskning,research
niners,niners
else,otherwise
spökstad,ghost town
rödljus,red light
metaforiskt,metaphorically
infödd,native
skoltiden,school time
befalla,command
oförglömlig,unforgettable
flottiga,nimble
bligh,please
magont,stomach ache
otänkbara,unthinkable
överfört,transferred
myrsveden,the marsh wood
mässlingen,the measles
matställe,eatery
nomineringen,the nomination
maneter,jellyfish
storfräsare,large milling cutter
anslutna,connected
luriga,sly
malachi,malachi
uppvaktar,courting
missionär,missionary
saliga,blissful
infrastrukturen,the infrastructure
waynes,waynes
wheaton,wheaton
provresultat,test results
herrtoaletten,the men's room
nöjespark,amusement park
otillåten,unauthorized
cologne,cologne
infraröd,infrared
sdl,sdl
chronicle,chronicle
why,why
favör,favor
framåtglimt,forward glance
halshuggning,beheading
påbörjats,commenced
baratheon,the baratheon
kladda,smudge
nutida,contemporary
basse,Bass
huxley,Huxley
delegationen,the delegation
ganz,quite
spiran,the scepter
zimmer,zimmer
uppfinnaren,the inventor
spruckit,cracked
packard,Packard
earlen,the earl
inrättning,institution
hölstret,the holster
niece,niece
stitch,stitch
smaskigt,yummy
larven,the caterpillar
avvisande,rejecting
stonehaven,stonehaven
tilly,tilly
skolbuss,school bus
gabriels,Gabriel
tama,tame
läppglans,lip-gloss
välbärgad,well off
herrskapet,the lordship
dieten,the diet
fjeldsø,mountain lake
taxametern,the taximeter
carlsson,Carlsson
tardis,tardis
opinionen,public opinion
utstått,endured
colson,colson
nöjt,satisfied
vändor,turns
polismördare,cop killer
ilona,Ilona
dagiset,the kindergarten
filosofin,the philosophy
gafflar,forks
kwan,kwan
exponera,expose
ammo,ammo
inreda,furnishing
läkemedlet,the medicine
tabbade,blundered
minutes,minutes
hair,hair
distribuera,distribute
lastrum,cargo hold
återställ,restore
mittjobb,middle job
misse,miss
think,think
avsändare,sender
påminnas,be reminded
uppmana,invite
mittpunkt,center point
karlen,the man
edwina,edwina
fortast,the fastest
alerta,alert
kembleford,kembleford
ovanvåningen,upstairs
lito,litho
ränker,intrigues
cause,cause
vänligheten,the kindness
grytor,pots
yngst,youngest
förbandslådan,the first aid kit
motattack,counter attack
släcktes,was extinguished
arabien,Arabia
intravenöst,intravenously
märkligare,more strange
idiotsäkert,foolproof
tilda,tilde
morra,growl
amin,amen
pulitzer,pulitzer
brandbil,fire engine
sjöjungfrun,the mermaid
sötpotatis,sweet potato
punch,punch
köksbordet,the kitchen table
avrådde,advised against
utdöd,extinct
mmm-hmm,mmm-hmm
ballen,the ball
hawkeye,hawkeye
sått,seeded
butterfly,butterfly
straffregister,criminal records
asbest,Asbestos
vie,vie
synagogan,the synagogue
skolpojke,schoolboy
eldig,fiery
siamesiska,Siamese
närstrid,close combat
monet,monet
sanningsenligt,truthfully
obehöriga,unauthorized
cylons,cylons
jago,Yes
synska,psychic
majsbröd,cornbread
generatorer,generators
kusken,the coachman
tacksamt,thankfully
skorpioner,scorpions
väckning,awakening
eksem,eczema
pålitligt,reliable
niro,niro
expediten,the clerk
dojo,dojo
saboterat,sabotaged
scrooge,scrooge
macintosh,macintosh
sonmanto,son mantle
kollegas,colleague's
dykarna,the divers
träben,wooden leg
otillgänglig,inaccessible
legitima,legitimate
puta,pad
armbanden,the bracelets
genuint,genuinely
guacamole,guacamole
lockbetet,the lure
onanerade,masturbated
ramma,ram
mexikanen,the mexican
närapå,nearly
tami,Tammy
proposition,proposition
fjortonde,fourteenth
hemvärnet,the home guard
gränssnittet,the interface
polackerna,the Poles
gilda,valid
begrep,concept
strimma,streak
aborter,abortions
duckar,ducks
tystnadsplikten,the duty of confidentiality
fängslar,imprisons
pier,pier
gordons,Gordon's
operationerna,the operations
pony,pony
yakuza,yakuza
vriden,twisted
santi,santi
jönsson,Jonsson
freds,of peace
byråkrat,bureaucrat
plakat,placard
fisket,the fishing
bengt-ove,bengt-ove
nedersta,bottom
baronens,baron's
väckarklockan,the alarm clock
knuffades,was pushed
cheerleaders,cheerleaders
chu,chu
förlagt,misplaced
latnok,lazy
slutresultatet,the end result
paja,pie
varningsskott,warning shot
språnget,the leap
glänta,glade
nycker,capricious
betjänter,valet
republic,republic
någongång,sometime
fingeravtrycket,the fingerprint
battlestar,battlestar
nothing,nothing
card,card
kärnkraft,nuclear power
hotchner,hotchner
stridsspets,warhead
tryne,snout
landslaget,the national team
mormoner,Mormons
rajan,the ray
indraget,indented
kiropraktor,chiropractor
ihâg,remember
strandhuset,the beach house
tvåor,twos
hovmästaren,the butler
avbokar,cancels
teleportera,teleport
renande,purifying
regnig,rainy
pirrar,tingles
flik,Tab
testad,tested
dräpt,killed
conklin,conklin
starkwood,starkwood
philo,philo
kopplats,connected
faxade,faxed
newtons,newtons
barça,Barca
slâ,beat
large,large
bebisarna,the babies
vortex,vortex
sebbe,sebbe
vibrationerna,the vibrations
spekulation,speculation
omgivningarna,the surroundings
titans,titans
halvön,peninsula
halter,halts
onykter,intoxicated
förtjänsten,the merit
frikort,free pass
spadar,spades
wilshire,wilshire
våningarna,the floors
worm,worms
mayweather,mayweather
professorns,the professor's
nordirland,northern ireland
sammanfattar,summarizes
blodomloppet,the bloodstream
mongoliet,Mongolia
arvodet,the fee
mylene,mylene
skådespelerskor,actresses
åkalla,invoke
kemoterapi,chemotherapy
tråkigaste,most boring
kruxet,the crux
judge,judge
malaya,Malay
fostrade,fostered
resonemang,reasoning
hutton,Hutton
moset,the mash
vänsterhanden,the left hand
befordrade,promoted
visualisera,visualize
befunnit,found
fromma,pious
racerförare,racing driver
davos,Davos
rövade,robbed
jukeboxen,the jukebox
blåögd,blue eyed
bröllops,nuptial
vinnas,be won
svalna,cool down
landsman,compatriot
provocerande,provocative
frimurarna,the freemasons
stavros,stave rose
rådgivaren,the advisor
schäfer,shepherd
fotbollsplanen,the football pitch
dynamik,dynamics
arbetsförmedlingen,the employment agency
volontärer,volunteers
francie,France
återinföra,reintroduce
marinsoldaterna,the marines
talesättet,the saying
hälsoproblem,health problems
kampanjer,campaigns
minimilön,minimum wage
fängelserna,the prisons
promicin,promicin
susar,whizzing
belthazor,belthazos
kombinerade,combined
veka,week
strut,cone
ödelade,devastated
vrickat,sprained
korgosse,choirboy
tv-bolaget,the television company
scooby-doo,scooby-doo
lilo,lilo
handväskor,handbags
waco,waco
ivo,ivo
loving,loving
jamison,Jamison
saké,thing
kirurgisk,surgical
nei,no
pjåkigt,playfully
snarkade,snored
lus,louse
knas,crunch
ptro,ptro
silvermynt,silver coin
grinder,grinder
harrow,Harrow
älskades,was loved
rembrandt,rembrandt
irrar,wandering
suzuki,suzuki
disciplinerad,disciplined
mången,the lot
chop,chop
försten,the first
killarnas,the boys'
biet,the bee
kojan,the hut
memorerat,memorized
nu.,Now.
gulfkriget,the gulf war
gnuggar,rubs
y.,y.
zimbabwe,zimbabwe
själs,soul's
phantom,phantom
ögonfransar,eyelashes
kapitalismen,capitalism
assisterar,assists
smidigare,more flexible
verktyget,the tool
genitalier,genitalia
surrande,buzzing
dagdrivare,loafer
belönade,rewarded
skapande,creative
evenemanget,the event
dumbo,stupid
diskbänken,the sink
instrumentet,the instrument
försäkringspengarna,the insurance money
affärsuppgörelse,business settlement
geting,wasp
sheffield,sheffield
fritog,exempted
konstruerat,constructed
prägel,touch
givaren,the donor
minigolf,miniature golf
bibliska,biblical
anagram,anagram
bågar,arches
somerset,somerset
undertecknar,sign
quinlan,quinlan
drax,drax
rutter,routes
suspekt,suspicious
skamfläck,pubis
mako,mako
söderns,of the south
väckas,be awakened
frisyrer,hairstyles
vener,veins
seska,seska
pelarna,the pillars
popper,popper
trollstav,magic wand
illuminati,illuminati
aktörer,actors
askar,boxes
sneakers,sneakers
skalvet,the quake
redmond,redmond
pj,pj
och-,and-
16-årig,16 year old
redig,ready
pyssling,leprechaun
undkommer,escapes
surra,lash
fattigdomen,the poverty
medgörlig,conformable
minibussen,the minibus
segrarna,the victories
espen,the aspen
wallander,wallander
väsendet,the being
droska,cab
hitch,hitch
caspere,Casper
ain,ain
överilat,rashly
miljardären,the billionaire
fallenhet,aptitude
filosofen,the philosopher
espn,esp
krans,wreath
seine,his
crewe,crew
överskattar,overestimates
ströva,stroll
ozzie,ozzie
improvisation,improvisation
madea,Madea
honungen,the honey
ämnat,intended
sköttes,was taken care of
trotsat,defied
donatorn,the donor
nedbruten,broken down
rank,rank
kallnat,cold
valeria,Valeria
föreligger,exists
havsvatten,sea ​​water
giljotinen,the guillotine
provsvar,test answers
heterosexuella,heterosexual
rollie,Rollie
dominerade,dominated
slöfock,slouch
supernova,supernova
knoxville,knoxville
avlösa,relieve
tuffingar,tough guys
tekanna,teapot
förmer,forms
sociologi,sociology
obebodd,uninhabited
kontroversiellt,controversial
lombardo,lombard
behövts,was needed
godzilla,godzilla
uh-oh,uh-oh
ang,according to
rishög,jalopy
punka,punk
nonchalant,nonchalant
frukterna,the fruits
kompakt,compact
separationen,the separation
beblanda,mix up
attan,eight
söte,cutie
chappelle,Chappelle
utrikes,foreign
icc,inc
trassla,get tangled up
cellgifter,chemotherapy drugs
chubby,chubby
gennaro,Gennaro
nappa,nip
ramp,ramp
astrologi,astrology
putsar,polishes
förpackningen,the packaging
styrning,steering
yxor,axes
svartas,answered
alexej,Alexey
enkelbiljett,single ticket
barnsköterska,child nurse
elisha,Elisha
söderhavet,the south sea
överföras,transferred
blåslagen,bruised
brytningen,the refraction
bp,bp
fdr,formerly
soldats,the soldier
grange,grange
vyvyan,view view
schakt,shaft
lätthet,ease
corn,corn
checkhäftet,the checkbook
testresultaten,the test results
karman,Karma
smittskyddsinstitutet,the institute for infection control
identifieringen,the identification
nuddar,touches
tjuvlyssnar,eavesdropping
avsvimmad,passed out
rye,rye
flygvapnets,of the Air Force
dragons,dragons
theta,theta
slickat,licked
skärpan,the sharpness
källorna,the sources
quebec,Quebec
pant,pledge
barnmorskan,the midwife
sang,song
övernattning,overnight stay
kvadrant,quadrant
skitarg,shitty
mutationer,mutations
strömmade,flowed
paraguay,Paraguay
fudge,fudge
karlberg,Carl Berg
vårdnadshavare,caregiver
vilkas,whose
trucken,the truck
ärorika,glorious
målas,painted
frigivna,released
dunkel,dim
bugsy,buggy
dödsruna,obituary
warriors,warriors
renad,cleaned
låsning,locking
stefans,Stephen's
luffaren,the tramp
framförde,performed
jorma,jorma
alphonse,Alphonse
filmbolaget,the film company
handbromsen,handbrake
villervalle,Wilderness
stekpannan,the frying pan
löstes,was solved
forsar,rapids
marika,marika
kyffe,hovel
k-20,k-20
spanky,spanky
saw,saw
arlen,Arlen
sinnessjukdom,mental illness
äkthet,authenticity
merlotte,Merlotte
målområdet,target area
bianchi,bianchi
försena,delay
vårlovet,spring break
1950-talet,The 1950s
gunner,gunner
låssmed,locksmith
gawain,gawain
barber,barber
förringa,belittle
talförmågan,the ability to speak
gylf,Fly
rudi,rudi
t-bag,t-bag
snobbiga,snobbish
anträffbar,findable
chapelle,chapel
höljet,the casing
streets,streets
avfallet,the waste
skivspelare,record player
soja,soya
barmhärtiga,merciful
racet,the race
vittnets,of the witness
tankbilen,the tanker
rocks,rocks
tingsrätten,the district court
kopplades,was connected
mears,mears
jurymedlem,juror
dulles,dulled
aristokrat,aristocrat
nobba,noob
skepparn,the skipper
urna,urn
evakuerat,evacuated
delorean,the delorean
poliskommissarie,police commissioner
variationer,variations
runkle,runkle
wizard,wizard
luftrummet,the air space
nein,no
liva,live
boko,book
parodi,parody
daffy,daffy
kretskortet,the circuit board
downtown,downtown
stridsyxan,the battle axe
detaljen,the detail
yttrande,opinion
krigade,fought
chale,cottage
förslava,enslave
drömhus,dream house
regerade,reigned
hubotar,hubots
ogillande,disapproval
wax,wax
donut,doughnut
padawan,the padawan
airport,airport
överflödigt,superfluous
obekräftade,unconfirmed
schulz,schulz
viskande,whispering
luncher,lunches
neurologiskt,neurologically
dobby,dobby
minneskortet,the memory card
ovillig,unwilling
åskådarna,the spectators
skaderapport,damage report
reglera,regulate
världshistorien,world history
simning,swimming
bend,bend
kräkningar,vomiting
ashford,ashford
skitters,skitters
mördares,murderer's
ostindiska,East Indian
middagsbjudning,dinner party
rebellernas,of the rebels
creel,creel
utropstecken,exclamation mark
barrikadera,barricade
örhänget,the earring
försummelse,neglect
ungens,the kid's
utformat,designed
knutit,tied
fjällen,the mountains
temps,temps
yrken,occupations
relationerna,the relationships
petersen,Petersen
knutar,knots
passé,past
milf,milf
garys,Gary's
forcera,force
mallig,upstage
implosion,implosion
hatake,hate
sirius,sirius
mahdi,mahdi
snokande,snooping
massimo,Massimo
bankfacket,bank union
kylaren,the cooler
hollander,Hollander
lindas,wrapped
reflekteras,is reflected
hägring,mirage
trasslat,messed up
lian,liana
förfaller,expires
flemming,Flemming
serva,service
retorik,rhetoric
vändas,is turned
bagwell,bagwell
gaviria,Gaviria
even,even
muckade,mucked up
rättfärdighet,righteousness
stunt,stunt
framkallade,evoked
kommersiell,commercial
shoppat,shopped
tuvia,Tuvia
kandahar,Kandahar
kusliga,eerie
ventilation,ventilation
sigge,sag
mercedesen,the mercedes
aaa,aah
salome,Salome
vintergatan,winter street
ylande,howling
bwana,bwana
historik,history
flirt,flirting
meade,mead
inlagda,admitted
grovjobbet,the rough work
rt,rt
kady,kady
grammatik,grammar
partyn,the party
spökhus,haunted house
danne,formed
polishögskolan,the police academy
antastade,defiled
undersökande,investigative
gru,mine
myron,the ant
lyxiga,luxurious
nasser,nasser
bemärkelse,sense
sydkorea,South Korea
pariserhjulet,ferris wheel
herrelös,stray
rakhyvel,razor
balanserar,balances
gruppsex,group sex
jada,yeah
planenligt,according to plan
yachten,the yacht
restaurant,restaurant
sprängämnena,the explosives
attrahera,attract
things,things
taurus,Taurus
hypnotiserad,hypnotized
middle,middle
badhuset,the bathhouse
pendla,commute
weber,web
arna,the arna
awesome,awesome
skrivkramp,writing cramp
försovit,overslept
projektion,projection
gone,gone
gordy,Gordy
avgav,submitted
tabitha,tabitha
sharif,Sharif
ciggen,the cig
att-,to-
kissekatt,kitty cat
vanärat,disgraced
förgasaren,the carburetor
folksamling,crowd gathering
snälle,please
dröjsmål,delay
helgad,sacred
ride,ride
kanaliserar,channels
fiktiva,fictitious
spakarna,the levers
doherty,doherty
ce,ce
lindberg,Lindbergh
förargelseväckande,infuriating
visdomsord,words of wisdom
framhäva,highlight
långvarigt,long-term
lämpligare,more appropriate
steinar,stones
trafikljus,traffic light
neeej,nope
monsignore,Monsignor
ifrågasättas,be questioned
getterna,the goats
mikroskopiska,microscopic
hamra,hammer
frisco,frisco
överfallna,assaulted
parkeringshuset,the parking garage
ljudlöst,soundlessly
tomie,Tommy
mantra,mantra
törsten,the thirst
kyrkogårdar,cemeteries
översvämmas,flooded
braka,brak
respekterat,respected
portaler,portals
tillfriskna,recover
jamieson,Jamieson
ödelagt,devastated
after,after
gurkan,the cucumber
förlösa,redeem
hemlandet,homeland
violin,violin
obamas,the obamas
holst,Holst
hetat,called
gymnasium,gymnasium
tillkallar,summons
komponent,component
avskedsbrev,resignation letter
targaryen,the targaryen
alberta,Alberta
radek,row
hären,the army
förtrolla,enchant
förfalskare,forger
förberedande,preparatory
zayday,zayday
klingar,blades
socialbidrag,social security contributions
förbipasserande,passerby
hövligt,politely
prinsessans,the princess's
ara,macaw
överföringar,transfers
borsten,the brush
inlindad,wrapped up
woodhouse,woodhouse
förenat,united
eskorten,the escort
låstes,was locked
virveln,the vortex
abdullah,Abdullah
passagerarsätet,the passenger seat
fienders,enemies
hävdat,claimed
förstådd,understood
läkarbesök,doctor's visit
urverk,clockwork
oklanderlig,impeccable
nim,nim
kräv,demand
strössel,sprinkles
andats,breathed
crosby,crosby
skyldra,owe
camino,camino
älvan,the river
domo,domo
stoppskylt,stop sign
whites,whites
sumpar,swamps
barnabas,children's base
servar,serves
pernille,pernille
dragning,drawing
lindar,wraps
kool,cool
vigvatten,holy water
tvätteriet,the laundry
leveranserna,the deliveries
serve,serve
corona,corona
pokalen,the trophy
claudette,claudette
stationens,of the station
annes,annes
gérard,Gérard
hogue,hogue
orgier,orgies
kazakstan,Kazakhstan
tandkort,dental card
åsamkat,incurred
avkopplande,relaxing
mahler,Mahler
eben,ebony
rannsakningsorder,search warrant
knölen,the lump
opererades,was operated on
verkställer,executes
torch,torch
rivsår,laceration
elam,elam
hangarfartyget,the aircraft carrier
maskera,mask
symfoni,symphony
genvägen,the shortcut
älven,the river
mcnamara,mcnamara
respiratorn,the respirator
introducerar,introduces
bieber,bieber
försvåra,make it difficult
sentinel,sentinel
ersätts,is replaced
återtar,takes back
skeptiker,skeptic
desai,desai
överläkare,consultant
publiciteten,the publicity
skuldra,shoulder
trolovade,betrothed
olydiga,disobedient
tryckeriet,the printing house
valentines,valentines
nattvakten,the night watchman
världsberömd,world famous
snygge,handsome
marja,Marja
väljas,be chosen
barron,barron
provisoriska,provisional
kompatibla,compatible
klokhet,wisdom
avnjuta,enjoy
melrose,melrose
teknikern,the technician
inrådan,advice
